pdb,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
protein,0.9514616669211758,4837.721021822275,8527.577754824473,12213.122207473387,0.3961084593800268,0.6982307726034481,4.547084844228469,0.0001443305162604102,0.9182037292494414,0.2494279629320992,0.16206960620091523
protein,0.9332878591612598,5548.576295420774,13381.147467003015,17931.33598445451,0.3094346288659745,0.7462437533156336,5.445290994517494,0.00013449283448287568,0.9509207172307146,0.34647764579254897,0.1064921438791567
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.315442639557665,3707.9342242985863,19512.673582385953,21341.508192304664,0.17374283911366656,0.9143062152196838,5.992009816300868,0.00024658102326306476,0.9847910569540742,0.5681160382225078,0.17777623243244872
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.0773466372782519,5759.8436475019225,12258.521613110735,16049.089705473056,0.3588891179004191,0.7638141376286494,5.239133427970671,0.00013261022075832212,0.9333802017681,0.27997759401750677,0.1557709190015672
protein,0.9417052346411319,4761.458869141895,11935.27185316158,15547.007595321174,0.30626207904952985,0.7676893305663184,5.096972702765166,0.00016122985657643,0.9519472353740303,0.3478762712459948,0.11993519546675176
protein,1.242299369340466,5384.829863615413,11366.48045415118,14699.079482368195,0.366337896878142,0.7732783857509903,5.033877352656157,0.00014360312309511032,0.9304818887602809,0.27022132349061967,0.24780880803909863
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.1671180839997104,3313.1665567688046,26365.2692833183,27935.309719772715,0.11860138978247065,0.9437972783475841,6.813224021027785,0.0002848626116967783,0.9929419471155736,0.686951706011674,0.11346775332501316
protein,1.4869698403389775,4562.379953096679,15069.399262746352,16663.382282278322,0.2737967524125529,0.9043421682027192,5.407717306175533,0.0001982171974933618,0.9617875744510007,0.39378253220009046,0.28850116005861404
protein,0.8731716074599679,5460.110053835715,10162.090633314729,14726.686503715695,0.3707629718645856,0.6900459672819631,4.94493969289528,0.00012637949793653104,0.9287275266159286,0.2797088173958415,0.10311087170385881
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.9514564617018427,3801.4460417759565,16532.298886163877,19257.634165341195,0.19739943178573746,0.8584802652403574,5.64335667554125,0.0002258299225626502,0.9803231428109141,0.5210867401131573,0.10758363727333943
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,1.055644635091108,4777.063541333163,15342.927111166602,18964.45462545759,0.25189564560008526,0.8090360315751182,5.6116631000737,0.00016935844050953018,0.9677544025876174,0.426860840765353,0.13227941120647357
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.8380806177524309,5672.617796822086,12701.70891996401,17704.04558582523,0.3204136460970184,0.7174466908362263,5.391543104742973,0.00012647541514927273,0.94727772875478,0.3367831996696966,0.08446271429961273
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
protein,0.899246674166313,4994.271414806254,12091.56997986163,15936.615127590027,0.31338344904621535,0.7587288695281522,5.158153978086972,0.00015191983104458212,0.9496266707837866,0.33909921927046344,0.1077213338614668
protein,0.7742055348826626,5370.813302614953,13381.183490291422,18144.01910586751,0.2960101216426801,0.737498313478084,5.4522950571879205,0.00013731594675223758,0.9551848030015374,0.36729961613586465,0.07628035396922185
protein,0.7675252614002559,5499.975636292904,11536.359569712178,16476.232138720377,0.33381270608390795,0.7001819027908007,5.196290992918813,0.00012730636444468644,0.9426394205935473,0.32289153755056754,0.0773617835100517
protein,0.8991047240898334,5399.699077677788,11485.0677809295,15880.456322345217,0.3400216573172353,0.7232202619246517,5.1380245970799105,0.00013393714196304474,0.9404176054047695,0.30961930085418,0.11082652599956788
protein,0,0,0,0,0,0,0,0,0,0,0
